change_24h,market_cap,name,price,volume_24h
N/A,N/A,LOAF,$0.01846,$29.05 B
-0.06%,"$1,396.46 B",Bitcoin,"$70,857.06",$14.58 B
+1.86%,$463.24 B,Ethereum,"$3,855.52",$61.94 B
+0.03%,$112.34 B,Tether,$0.9995,$2.96 B
-0.55%,$102.44 B,BNB,$694.10,$1.99 B
+0.18%,$79.49 B,Solana,$172.83,$5.91 B
-0.01%,$32.6 B,USD Coin,$0.9998,$1.14 B
+0.08%,$29.11 B,XRP,$0.525,$727.41 M
-0.13%,$23.42 B,Dogecoin,$0.162,$345.33 M
-3.46%,$17.4 B,Toncoin,$7.20,$280.99 M
-0.28%,$16.39 B,Cardano,$0.4589,$801.12 M
+0.21%,$15.15 B,Shiba Inu,$0.0000257,$304.28 M
+0.47%,$14.25 B,Avalanche,$36.23,$285.32 M
+0.04%,$11.57 B,Wrapped Bitcoin,"$70,958.22",$166.52 M
-0.04%,$10.34 B,Polkadot,$7.19,$367.5 M
-2.61%,$10.2 B,Chainlink,$17.38,$240.44 M
-0.10%,$9.95 B,TRON,$0.114,$295.4 M
+3.36%,$9.81 B,Bitcoin Cash,$497.35,$230.55 M
+0.27%,$8.17 B,NEAR Protocol,$7.55,$229.95 M
+0.83%,$7.12 B,Polygon,$0.7192,$333.21 M
-3.55%,$6.43 B,Uniswap,$10.72,$289.36 M
+1.24%,$6.33 B,Litecoin,$84.80,$1.43 B
+2.15%,$6.23 B,Pepe,$0.00001481,$60.84 M
-0.89%,$5.67 B,Internet Computer,$12.20,$4.25 M
+0.97%,$5.57 B,UNUS SED LEO,$6.01,$278.69 M
+0.09%,$5.34 B,Dai,$0.9993,$148.1 M
+1.41%,$4.32 B,Kaspa,$0.1811,$175.66 M
+0.25%,$4.35 B,Ethereum Classic,$29.52,$212.94 M
+1.72%,$4.15 B,Render Token,$10.68,$98.31 M
-0.02%,$4.02 B,Aptos,$9.18,$57.98 M
+1.07%,$3.7 B,Hedera,$0.1035,$288.24 M
+8.16%,$3.51 B,Stacks,$2.39,$115.49 M
+9.28%,$3.44 B,Mantle,$1.05,$519.95 M
-1.14%,$3.42 B,dogwifhat,$3.42,$174.56 M
+0.88%,$3.37 B,Filecoin,$6.02,$55.21 M
-1.23%,$3.37 B,Immutable X,$2.28,$98.14 M
