name,price
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹12,490"
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999"
"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹12,490"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹12,490"
"POCO C65 (Pastel Green, 128 GB)","₹6,799"
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999"
"Motorola g64 5G (Mint Green, 128 GB)","₹14,999"
"POCO C65 (Pastel Blue, 128 GB)","₹6,799"
"Motorola g64 5G (Ice Lilac, 128 GB)","₹14,999"
"Motorola g04s (Satin Blue, 64 GB)","₹6,999"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,910"
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,982"
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹17,999"
"POCO C65 (Matte Black, 128 GB)","₹6,799"
"Motorola g64 5G (Pearl Blue, 128 GB)","₹14,999"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹17,999"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,246"
"REDMI 13C (Starfrost White, 128 GB)","₹7,699"
"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999"
"Motorola g04s (Concord Black, 64 GB)","₹6,999"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,390"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,298"
