city,temperature
Achalpur,34°C
Guwahati,30°C
New Delhi,35°C
Adoni,26°C
Gwalior,35°C
New Okhla Industrial Development Authority,37°C
Agartala,29°C
Hajipur,37°C
Nizamabad,31°C
Ahmedabad,37°C
Haldwani,34°C
Nohar,34°C
Ahmedgarh,34°C
Hamirpur,35°C
North Lakhimpur,28°C
Aizawl,28°C
Hanumangarh,34°C
Ootacamund,16°C
Akbarpur (Ambedkar Nagar),36°C
Haridwar,31°C
Osmanabad,25°C
Akola,34°C
Haveri,23°C
Padanna,27°C
Akot,34°C
Hazaribagh,32°C
Padrauna,36°C
Alappuzha,26°C
Himatnagar,41°C
Painavu,26°C
Alipore,32°C
Hissar,34°C
Palakkad,31°C
Amravati,36°C
Hoshangabad,32°C
Palakollu,29°C
Amritsar,32°C
Hoshiarpur,32°C
Pampore,17°C
Anand,38°C
Howrah,32°C
Panaji,26°C
Anantapur,28°C
Hubballi,23°C
Panchkula,34°C
Anantnag,17°C
Hugli-Chinsurah,32°C
Panipat,37°C
Ariyalur,28°C
Hyderabad,24°C
Panna,37°C
Arrah,37°C
Ichalkaranji,27°C
Panskura,32°C
Ashta,27°C
Ilaiyangudi,29°C
Panvel,32°C
Asind,33°C
Imphal,26°C
Paradip,30°C
Aurangabad,38°C
Indore,30°C
Pathanamthitta,26°C
Azamgarh,36°C
Itanagar,28°C
Patiala,34°C
Badaun,34°C
Jabalpur,32°C
Patna,37°C
Badlapur,32°C
Jagatsinghpur,31°C
Perambalur,27°C
Bagpat,35°C
Jaipur,32°C
Pilibhit,34°C
Balasore,32°C
Jalandhar,32°C
Ponnani,25°C
Ballari,28°C
Jalgaon Jamod,34°C
Port Blair,25°C
Ballia,37°C
Jamnagar,33°C
Puducherry,29°C
Baramati,24°C
Jamshedpur,36°C
Pudukkottai,28°C
Baramulla,17°C
Jashpur Nagar,30°C
Punalur,28°C
Baran,34°C
Jehanabad,37°C
Pune,24°C
Barasat,32°C
Jetpur Navagadh,33°C
Puri,31°C
Bardhaman,34°C
Jharsuguda,33°C
Purulia,36°C
Bareilly,34°C
Jorhat,28°C
Qadian,32°C
Bareta,34°C
Junagadh,32°C
Raebareli,35°C
Bargarh,33°C
Kadur,24°C
Raichur,26°C
Baripada,32°C
Kakinada,30°C
Raipur,32°C
Barnala,34°C
Kalpetta,25°C
Raisinghnagar,35°C
Barpeta,30°C
Kalyandurg,28°C
Rajahmundry,30°C
Basti,36°C
Kanchipuram,30°C
Rajgarh,30°C
Batanagar,31°C
Kannur,27°C
Rajkot,33°C
Belagavi,23°C
KÃ£npur,34°C
Ramagundam,33°C
Bengaluru,25°C
Kanyakumari,27°C
Rampur,34°C
Berhampore,32°C
Kapadvanj,41°C
Ranasan Town,41°C
Bhadrak,32°C
Kapurthala,32°C
Ranchi,32°C
Bhandara,32°C
Karaikal,29°C
Ratnagiri,25°C
Bharuch,32°C
Karaikudi,28°C
Rewa,37°C
Bhavnagar,32°C
Karanjia,35°C
Rishra,32°C
Bhilai,32°C
Karimganj,29°C
Roorkee,31°C
Bhopal,32°C
Karimnagar,33°C
Rourkela,33°C
Bhubaneshwar,31°C
Karjat,32°C
Rudrapur,34°C
Bhuj,33°C
Karnal,35°C
Rupnagar,34°C
Bhusawal,36°C
Karur,27°C
Saharanpur,31°C
Bikaner,35°C
Kasaragod,25°C
Sambalpur,33°C
Bilaspur,26°C
Katni,32°C
Sangrur,34°C
Bokaro Steel City,32°C
Katra,34°C
Satara,24°C
Bulandshahr,35°C
Kattoor,26°C
Satna,37°C
Chalakudy,26°C
Kavaratti,29°C
Sehore,32°C
Chennai,31°C
Kendrapara,31°C
Shahdol,26°C
Cherrapunji,28°C
Kendujhar,33°C
Shahjahanpur,34°C
Chhapra,37°C
Keshod,32°C
Shajapur,30°C
Chikhli,34°C
Khalilabad,36°C
Shegaon,34°C
Chirmiri,26°C
Khamgaon,34°C
Sheikhpura,37°C
Chitrakuta,37°C
Khanna,34°C
Shillong,30°C
Chittoor,34°C
Kharagpur,32°C
Shivamogga,24°C
Churu,32°C
Khordha,31°C
Shivpuri,34°C
Coimbatore,31°C
Kochi,26°C
Shopian,17°C
Contai,31°C
Koduvally,25°C
Sibsagar,28°C
Cooch Behar,30°C
Kolkata,31°C
Sihora Road,32°C
Courtallam,29°C
Kollam,26°C
Silchar,28°C
Cuddalore,29°C
Koraput,29°C
Siliguri,28°C
Cuttack,30°C
Kottayam,26°C
Sirsa,34°C
Dalkhola,30°C
Kozhikode,25°C
Sitapur,35°C
Daltonganj,38°C
Krishnagiri,25°C
Solapur,24°C
Daman,32°C
Krishnanagar,32°C
Sopore,17°C
Darjeeling,28°C
Kundapur,24°C
Srikalahasti,34°C
Daryapur,34°C
Kupwara,17°C
Srinagar,17°C
Datia,35°C
Kurinjipadi,29°C
Sringeri,25°C
Dausa,32°C
Kurnool,26°C
Srisailam,26°C
Davangere,24°C
Lonar,34°C
Sundergarh,33°C
Debagarh,33°C
Lucknow,34°C
Sunel,36°C
Dehradun,31°C
Ludhiana,34°C
Tadepalligudem,30°C
Delhi,35°C
Lunawada,37°C
Tambaram,31°C
Deoria,36°C
Mahbubnagar,24°C
Tamluk,32°C
Devakottai,30°C
Mahesana,38°C
Tarikere,24°C
Devanahalli,23°C
Mahrajganj,37°C
Tarn Taran Sahib,32°C
Dewas,30°C
Malappuram,23°C
Tehri,31°C
Dhakuakhana,29°C
Malkangiri,29°C
Tenkasi,29°C
Dhamtari,32°C
Mandi Gobindgarh,34°C
Thalassery,25°C
Dhar,30°C
Mandla,32°C
Thane,32°C
Dharapuram,25°C
Mangaluru,25°C
Thanjavur,27°C
Dharwad,23°C
Mansa,34°C
Thiruchendur,30°C
Dhekiajuli,29°C
Maraimalai Nagar,31°C
Thiruvananthapuram,29°C
Dhenkanal,31°C
Margao,26°C
Thiruvannaamalai,29°C
Dholpur,35°C
Mau,36°C
Thodupuzha,26°C
Dhubri,29°C
Mayiladuthurai,29°C
Thoothukudi,30°C
Dibrugarh,32°C
Medak,24°C
Thrissur,26°C
Dindigul,28°C
Meerut,35°C
Thuraiyur,27°C
Dispur,30°C
Mehkar,34°C
Tinsukia,28°C
Domkal,32°C
Melvisharam,34°C
Tiruchirappalli,28°C
Durgapur,34°C
Midnapore,37°C
Tirunelveli,26°C
Eluru,29°C
Moga,32°C
Tirupati,34°C
Erode,31°C
Mohali,34°C
